Date,Cobre,Zinco,Aluminio,Chumbo,Estanho,Niquel,Dolar
2013-01-25,8060.0,2081.5,2042.5,2399.5,24710.0,17265.0,2.0285000801086
2013-01-28,8015.0,2070.5,2006.5,2367.0,24500.0,17410.0,2.0285000801086
2013-01-29,8010.5,2059.0,1998.0,2378.0,24480.0,17625.0,1.9940999746323
2013-01-30,8175.5,2119.0,2046.5,2438.5,25070.0,18205.0,1.9864000082016
2013-01-31,8170.0,2139.0,2073.5,2438.0,25100.0,18375.0,1.9882999658585
2013-02-01,8160.0,2130.0,2056.0,2426.0,24810.0,18380.0,1.9905999898911
2013-02-04,8226.0,2141.0,2079.0,2443.0,24945.0,18600.0,1.9864000082016
2013-02-05,8242.5,2145.0,2075.0,2448.0,24945.0,18565.0,1.9946999549866
2013-02-06,8200.0,2136.5,2059.5,2424.5,24850.0,18490.0,1.9829000234604
2013-02-07,8212.0,2137.0,2066.0,2406.5,24955.0,18220.0,1.9859000444412
2013-02-08,8215.0,2157.5,2066.5,2409.0,24875.0,18220.0,1.9635000228882
2013-02-11,8216.0,2186.0,2076.0,2409.0,25000.0,18250.0,1.9701000452042
2013-02-12,8184.5,2164.5,2059.5,2375.5,24925.0,18285.0,1.9707000255585
2013-02-13,8221.0,2187.5,2087.5,2423.0,24905.0,18280.0,1.9687999486923
2013-02-14,8197.0,2165.0,2115.0,2401.0,24780.0,18290.0,1.9641000032425
2013-02-15,,2168.0,2123.0,,24925.0,18250.0,1.956200003624
2013-02-18,8075.5,2133.0,2086.0,2395.5,24700.0,17935.0,1.9651999473572
2013-02-19,8070.0,2122.0,2075.5,2374.0,23925.0,17585.0,1.9596999883652
2013-02-20,8009.5,2136.5,2065.5,2364.0,23900.0,17200.0,1.9538999795914
2013-02-21,7847.5,2086.5,2047.0,2315.0,23150.0,16775.0,1.9601000547409
2013-02-22,7825.0,2085.0,2024.5,2321.0,23295.0,16745.0,1.9717999696732
2013-02-25,7865.5,2083.0,2004.0,2306.5,23305.0,16710.0,1.9690999984741
